,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,DC,Canada,US,China,Italy,Spain,South Korea,Australia,Germany,France,Japan,Iran,UK,World,Pacific,Rockies,Southwest,Midwest,Northeast,Southeast,Southeast-,Mid-Atlantic
2020-04-05,5.797153161498003,8.07515006540256,5.60100961566968,7.886251127510139,6.239485815002785,5.293649391449495,5.267428493947682,3.8655948526321713,6.5900419167310025,9.563158476248955,5.6045918251256355,6.326062725660432,5.463630335432079,5.5763751526262055,5.986619648329198,6.794502555523382,9.657410218294904,5.924650687409175,9.31885115851617,4.733021359868464,6.257930748828096,5.529045913945323,8.994229891560135,6.291668717839168,8.87983733292617,12.146634140700327,5.3071031776941515,8.759394737040406,3.0779689232728957,5.43968231634355,3.806602064034461,7.265419149296859,7.106731719561836,7.882208233600137,6.264670970957075,5.890166953517627,8.092841940188288,4.456819488990158,6.136558303385911,7.520050699834406,5.5497141590808345,8.505023456998707,5.904372949748531,5.373507584137893,5.0073393932327,4.762507385946738,10.256388782413392,5.128533874054364,7.345386581139277,7.629062200151971,4.856509476713686,6.228941622034487,6.390953662129087,1009.3483353199927,18.50449240712219,12.912783005866292,80.51612215078777,19.652602250934564,12.513591029085537,4.644550336717407,9.056187848986376,14.542310089006822,5.961573816748977,9.135998179876257,7.28854594381162,6.027886691442179,5.672281994047942,5.87560108113684,6.458981071818076,6.474500253127851,6.9193823428926144,4.6895308351813245
2020-04-04,4.945791537871589,8.033023319138472,5.820478205320335,8.635731668923537,6.670685246778483,6.12268408257159,5.274413769566513,4.358397800940726,4.104313394020329,7.327304036296085,4.629827552993065,3.5189739163165656,5.269562427138255,4.803445467619794,5.716215043402988,5.711649770127327,5.5866215640055525,3.1252521016359536,5.087194249206226,4.587222127960778,4.992443585247463,4.91158348924709,9.140875057940887,6.827972556049639,5.78986927994885,8.585930666826558,4.900487679651235,6.730556704767933,5.384262771381793,4.86493901301683,4.606136941214931,6.82825359030419,5.266251116764264,7.703928938671334,5.416594708265466,4.364926428754729,10.394457556189142,3.761861451143689,5.882609172682304,5.280499594034097,4.185891541317954,16.69681348644221,5.083512488682306,4.332635770420577,5.744997339589558,4.293580468497155,8.110353909512739,5.336914764978285,7.819878644306266,5.719442506808237,4.8213933412506895,6.802944030397978,5.622868986933501,942.0551888949428,17.374952613452635,10.825379570452665,77.46420862232141,15.711916513967205,9.890817025237295,4.589550462343588,5.689349297774289,13.15551455818987,5.902883917732591,8.32008752167805,7.237452881064263,5.492163694845129,5.105592231216985,5.286094341165657,5.922039273542411,4.628580727537944,4.647517009110763,4.5204139891833215
2020-04-03,5.008150810274435,7.503695840640651,5.105759943550776,6.996848207377258,5.473842271943058,8.947452663101707,4.603646414432208,6.043895879547479,4.941357039726174,5.267028190543213,4.651254576944693,3.7933724751392073,5.254543128171218,4.467909329143199,6.0969834498425275,5.603653849725842,10.200824076141917,3.0756248040761434,5.862655353872698,4.095903028423189,4.6015246750950425,4.038216441201989,9.226919119137477,5.60367947142941,6.550488094353258,10.153800168728953,4.2988777125635815,6.777884634546175,7.07377696617988,4.430172256209895,3.939655439832332,6.7940238884761985,5.431561051471496,5.953669850154249,5.077387263315051,3.742806347429952,7.859065910059841,3.806706847893288,5.52518329498635,4.61182638970487,3.787845511636034,8.351566739339802,5.083628943912297,6.011352047748222,7.337304614883763,4.361372711616559,8.988015036551367,5.465543658603298,5.872103052492712,5.2478224859160045,4.895043935113043,5.509354871132592,5.45008006700154,738.5149682248896,16.69240218380955,9.571715271333204,74.76466540757905,13.308601587440657,8.714837003683058,9.880097266312966,7.1052673155022905,11.822207137366718,4.979240363899697,8.475729485155599,6.485930380306753,6.957248980010814,4.835100064411299,4.792278708908962,5.762442928128787,4.5661841554577,4.589686916559206,4.427340853897299
2020-04-02,6.582126147230017,9.174835969284764,5.283367126659357,6.772336884005288,5.051965763155607,5.63703711491588,5.237860744375734,5.2265592992741094,4.173187440867341,3.227692639570474,5.466582987889163,2.519903232990533,4.951108929506879,3.914457162097103,5.616143438602294,5.244967435536742,4.380631366489112,2.5290816847012554,6.647447518162142,4.154045644440124,4.684566117642077,4.099699686392164,8.21129579662908,6.320041255410256,3.653140869690228,6.060155266541111,3.933882371821632,5.642062166076411,327.5109425779974,4.8288062842151795,4.218403076158285,6.34704769402425,5.080905331685501,5.507632720143372,5.122000433307249,3.4360123581720137,6.714053141567769,3.7188087584725036,4.364752353988342,4.0082236296449905,4.236625525601614,5.267054447518101,4.362215167950505,6.791856432289004,7.4835467436854515,4.042862457642261,7.977611629454259,5.217587193908439,5.916612806022219,4.449521257110558,4.264508983774195,4.925531177658453,5.090187462334473,731.4919454393417,16.68578259821023,8.584136359051826,64.81030296470031,13.023248411093135,8.764767233078018,7.354935176379434,7.158352771615786,10.622048105114931,4.950914278632927,8.044102770282473,5.929323576201375,5.1899947274635325,4.403577259116414,4.5313454806781905,5.68952674812852,3.7484659234526116,3.679511847887148,4.234948723673966
2020-04-01,8.296500550906519,8.06519305484371,4.079440931566345,6.591741437605418,4.388675747540576,8.10236520419719,3.5897222050875657,4.507340468108784,4.212574594301405,3.7176280576608383,5.100423933403707,2.969615127827742,4.976376820323633,3.9422628047832635,4.266942178298349,5.400358037842803,5.671145166355597,3.4894979326788222,11.530460783280473,4.4072962558776485,4.665080850612491,3.9304298835773785,6.608721646420422,6.006267115199069,3.6679175529622716,6.917970756416861,3.127091191736335,6.311663666212528,3.8552023696805158,4.090511671440977,5.762053829349516,6.084918823254686,6.097713636972124,5.6070859695078,4.8099104550789376,4.005224886670218,7.05003382763628,3.7125249883375573,3.1746505491389136,4.052319203271937,5.776182637264147,3.8962632574836684,4.677459706473677,9.915297905943344,6.667962613986978,4.072538112498984,9.123361329446382,3.9617042355517893,7.16416196048136,5.032686811610937,3.8614792675638476,4.948485775738433,5.0096635355149095,715.5492518548277,16.783764266546477,7.933039725213257,66.58459954100857,10.440874778847027,9.184772596667518,5.946674722318379,13.449599570513495,9.582642994889454,5.046993433340323,8.042144288731162,5.60724276877122,6.848984108898212,4.502881663633577,4.457331464389946,5.289319272770186,4.179862388328658,4.174579317393371,4.211290731281238
2020-03-31,5.904181953566953,6.180128151318436,4.066627933332854,8.457610798356086,4.358564100596093,3.8989836159372215,2.891907413095032,5.208825030466691,3.566845447496541,4.099973232795193,6.61876414790642,2.636055843124155,3.8467519324330954,3.71506876370438,4.065406861484684,4.247674558162431,4.436325990011639,4.547302855612578,5.746303077791718,4.062757079230961,4.7096195604490045,4.215772686669592,5.856156843691355,6.011540022185622,4.292792036777413,4.853352989738365,3.5659003477101816,3.607873807602341,3.2158276893932447,4.005051761700508,5.01028527857359,5.628690074533609,5.0875956492728065,7.975573776243262,4.649353436907518,5.073340152515701,5.697240591280638,3.7369961777261067,2.9129875201082096,4.198767918968699,4.494889349601775,4.530965961093227,4.73418151995675,5.349537061211399,6.333688267181353,3.972582290603333,6.965346274349869,3.974102089916915,7.134413230557754,7.305805833402314,4.265258098591104,4.895499881040161,4.751670496937361,610.0110121185569,15.452603837227114,7.705278580100453,65.0242666872373,9.237051597434611,9.50274406681091,6.365437643333884,14.555336225592576,9.005491135838152,5.379723353555017,7.97646722680203,5.194511603884812,3.9343078969929897,4.619220796238178,4.2620165484288925,4.997658431907933,4.277135824367175,4.301191738118929,4.13298350956921
2020-03-30,4.878361214502002,3.0772102231271097,3.7548690385668104,9.613869018327875,4.869189079336703,4.3511136988881525,3.018592691064826,4.3124145069404145,3.2741120805581057,6.128165236544197,4.1477101492322035,4.1100910541919555,4.045643904141475,3.458806075840182,3.5235936566124,3.5184083196739793,4.475860549583367,5.427817875510447,4.219585035638156,3.4622312400048365,3.6228827243351738,3.5780849847504728,5.5497141590808345,5.4664860357314975,4.558102680304939,4.617741865269405,3.648050285299443,3.271878782102188,3.0277340416582006,3.2799775500302286,3.744007679915957,5.254472749201749,5.301656228681679,4.407088761850174,3.9184472726741153,5.181560089509854,5.527566972698192,3.6352155504492174,2.978881444055009,3.8902406766722164,3.7489199004484304,5.5504166235899,4.284776380636007,3.9041726455675683,6.296726380563754,4.00640634736485,5.979732623046144,3.2189477511311417,7.3246798155909305,7.053747574109048,5.306828577529721,4.5453831553087065,4.473842821212522,566.8198954776,12.81316777266359,7.134847972647865,60.01653897130445,6.348981705667734,7.598028894610176,6.889734454834835,8.66808970866638,8.333917760076904,4.944926723842939,7.516876641832054,5.290272323463943,4.031178715602961,4.197387017583472,3.9642967462092775,4.526394529965923,4.512879928746263,4.640108714384785,3.858933172777844
2020-03-29,4.449521257110558,3.4679257675908257,3.5078021988631525,8.653205445203445,5.12097785503472,4.347808084402009,3.068324153100975,3.5901779247471826,3.532933839324027,3.7606830309071997,4.6202685083732895,3.1759415690071884,3.5018635157156,2.438943246986515,3.302140414177275,3.1912942869004306,3.6301161931222663,4.841765897451044,4.244066836952658,2.758345745512407,2.8966823384780636,3.1650516549954175,5.4729561296573905,4.643135289637495,3.6798071264346532,3.871300202377248,5.5002057976438,2.6519465170861416,4.66247631882913,3.1214770571390456,2.8075053957434757,4.579092163698541,4.34479926174794,3.1837518214243694,3.2281676068228293,3.7944062824284375,3.7771419053617823,3.2083306785839305,3.5999274373114556,3.4551492198753078,3.098241711842192,4.623600118392481,3.584310056028511,3.4782750800829993,5.238013606341312,3.2137965932696755,6.283567056518796,2.679195192399316,4.4307864453888515,4.295875257238167,5.299384548220454,4.719242529287385,4.00594767287474,501.21808467137794,10.806402997918102,6.365881125580582,57.220906859327975,5.956546789129704,6.011928832225227,6.492025534578863,7.009653719175319,7.862195334717049,4.033401053867472,6.7666213840755685,5.456447588334569,3.669080993499832,3.538573943622702,3.3394672608866416,4.06226283638721,3.976086211236894,4.14138213807067,3.1722398636763542
2020-03-28,3.4676281563910054,2.8521477101687274,3.1683463528247957,5.487731101559541,3.921149535473947,3.9006405951222485,3.747620351143439,3.5433800896191747,2.582409899549549,3.246793274689108,4.217191667044222,2.2017216181311574,3.316878936680136,2.1896026118026715,2.9144776789566773,3.0327744503232283,3.011039425629347,3.389734652563993,5.250702958313285,2.4445222113115115,2.475859700484879,2.9466419882157258,4.801816940080878,3.6834929380078405,2.4198357186155053,3.0337982036503197,6.893138729643871,3.142583763621719,3.787845511636034,2.243083564898456,3.408081049263702,3.9216067440000835,3.7985151453411143,2.8229030451861807,3.0061648612190996,2.4981914995279606,3.5352369608284926,2.553180801189155,3.502738662718761,4.699235167352074,4.1100910541919555,4.1546403845527955,3.005295002730378,3.63976630775586,3.9718533077176996,3.325850758774661,4.70757469292237,2.30847313655105,3.923733988142102,3.3403094360494556,4.279398788377632,3.854322018382625,3.3897615141007726,503.43331191503586,9.554582227145364,5.312859625993352,56.75142826616289,4.817664139709256,4.7741710262331924,5.227969941238581,8.035940323078687,7.688209851272852,3.5516940371576045,6.015013131951902,4.2018793914929775,3.4995974609003158,3.001135367283657,3.045802366542989,3.416545285756357,3.257919537546946,3.3072507436397602,2.968889232953612
2020-03-27,2.3467687956766023,3.893483865245819,2.9169192098442527,3.755350774503819,3.4257962870029726,3.039602810819404,2.8227051621905535,4.627569817678479,2.8893026902819496,3.115364214004375,12.70823726943356,2.239424157136671,3.0726970169855274,2.1252432880849232,3.2526649435398953,2.8772994705524795,3.3565694693947647,3.051034924813395,5.886111125987432,2.606498772725056,2.022772034800866,2.9435343819778206,4.987940626769492,3.5067562910068197,2.1837973885563886,2.737828342797804,9.579832222691072,3.1674032221871444,4.647061377718418,2.3736956008333276,6.762748011150844,3.725584814457788,3.565038751583784,3.269619921754593,2.9886085778535074,1.871495129947663,3.0419972035478855,2.290643166784508,4.218580952770477,4.516055527116523,3.1542742956053775,3.887633813698217,2.9404519787363106,4.5216505974619166,3.145622347122823,2.854978914092194,5.183567321208973,1.6773871322332163,3.1746861548851832,2.35978543927063,3.1826939903976075,4.016818083139139,3.262141322761945,555.495656492091,9.305350012325718,4.163981765587772,64.73555525116058,4.832886237664926,4.800079779724645,5.336103305930493,10.024797166245413,7.853755347855698,3.5175030103161666,5.936429052635416,3.988129461238487,3.150325670134162,2.881492828513979,2.9360435991166502,3.2806334437639135,3.1398269568857775,3.190438270894833,2.8367187814059185
